Наименование;Цена
Материнка Gigabyte B760 D5;100
Материнка Gigabyte Н 810 M-K DDR5;75
Материнка Аsus Prime B 860 M-Bro DDR5;100
Материнка Gigabyte Z790 D DDR5;190
Материнка Gigabyte Z890 UD;195
Мини АТС Panasonic;
Плата KX-TE82480;117
Моноблок;
"Моноблок HP 200 G4 AIO i3-1215U 4GB 1TB 21.5""FHD DOS NO ODD KB + MOUSE IRON GREY";445
Моноблок НР 290  i5 8Gb 512 SSD;550
"Моноблок HP AIO 27-CR0008L  i5-13 Gen 16 GB 512GB   27""";990
"Моноблок LENOVO IDEACENTRE 27IRH9 i7-13Gen 8GB 512GB DOS 27""";1 020
"Моноблок LENOVO IDEACENTRE 27IRH9 i5-13Gen 16GB 1TB DOS 27""";1 060
"Моноблок MSI Pro AP272P AIO 27  i5-14500 16GB 1TB  DOS 27""";1 040
"Моноблок HP AIO 27-CR0156NH i7-1355U 8GB 512GB FHD WHITE 27""";1 040
Системный Блок HP 290 G9 Core i3-10100/ 4GB RAM/ 1TB HDD/ DVD RW;290
Мышки GENIUS RAPO;
Мышка GENIUS  Ergo 500;1,5
Мышка GENIUS NX-MICRO RETRACTABLE BL;1,5
Мышка LOGITECH Wireless M 196;12
Мышка LOGITECH Wireless M 330;17
Мышка LOGITECH Wireless M 650;35
Мышка LOGITECH Wireless  M575s;35
Мышка LOGITECH Wireless  M705;31
Мышка LOGITECH Wireless  M187;20
Мышка MERCURY MX-1500, OPTICAL MOUSE;1,5
Мышка GALAX SLIDER-03, Gaming mouse, Optical, 7 buttons, 3325;20
Мышка LOGITECH Wireless M 280;14
Мышка LOGITECH  Pebble;20
Мышка LOGITECH Wireless M 170;8,5
Мышка LOGITECH Wireless  M235;13
Мышка LOGITECH Wireless  M650L;35
Мышка LOGITECH Wireless M 185;10
Мышка Rapoo Wireless  M100G  Silent;10
Наушники;
Наушники Dialog M251;2
Наушники Logitech   Headset G 331;33
Наушники LOGITECH Stereo Headset H 110;8
Наушники NGTD020202 Baseus Bowie D05 Wireless Headphones Creamy-white;18
Наушники LOGITECH Stereo Headset Н 390;24
Наушники Logitech USB Headset Н 340;22
Наушники A00050402113-00 Baseus Bowie H1i Noise-Cancellation Wireless Headphones Cluster Black;35
Оперативки;
Оперативка Lexar DDR4 3200   16 Gb Радиатор;110
Оперативка Lexar DDR4 3200   16 Gb Ноутбук;110
Оперативка Lexar DDR4 3200   8 Gb Ноутбук;55
Оперативка Китай  DDR3   8 Gb;18
Оперативка Kingston FURY Beast 32 ГБ DDR5 5200;395
Оперативка Lexar DDR4 3200   16 Gb;110
Оперативка Китай  DDR3   4 Gb;9
Оперативка Lexar Thor DDR5 6000   8 Gb;93
Оперативка Kingston 16 ГБ DDR4 3200;100
Оперативка Kingston 8 ГБ DDR4 2666;45
Оперативка Kingston FURY Beast 16 ГБ DDR5 5200;200
Пилоты  Mercury;
Пилот MERCURY 6240U-SCK 1.8m;12
Пилот MERCURY 8240U-SCK 3m;15
Пилот Китай  3m;6
Пилот Стоичный 8 Портов;20
Принтеры Canon Samsung Epson;
Принтер CANON MF275DW;310
Принтер CANON MF3010 i-SENSYS дубай;230
Принтер EPSON L8050;300
Принтер HP LJ M137fnw MFP;290
Принтер EPSON L14150;600
Принтер HP Laser Jet  M111w;125
Принтер Canon LBP 6030 image Class;135
Принтер HP Laser Jet   Pro 4103 fdw;550
Принтер EPSON ACULASER M1400 (220V) PRINTER;170
Принтер EPSON L 18050;580
Проекторы EPSON  BENQ ACER;
Экран 178 178*178 cm Manual;40
Экран 213 213*213 cm Electric;90
Экран 213 213*213 cm Tripod;70
Экран 213 213*213 cm Маnual;65
Экран 244 244*244 cm Manual;85
Экран 244 244*244 cm Tripod;85
Экран 266 266*149 cm Tripod;60
Экран 3 305*305 cm Electric;180
Экран 35 350*350 cm Electric;260
Проектор OPTOMA W371;290
Проектор V11HA86340  EPSONCO-WX02;370
Стойка Projector 1 метра;20
Электронная  доска ST-9400U 83 диагональ;200
Проектор EPSON EF-12;1 180
Экран 178 178*178 cm Tripod;40
Экран 244 244*244 cm Electric;130
Экран 4 400*300 cm Electric;250
Проектор Китай;90
Стойка Projector;15
Процессор Intel;
Процессор Intel Core i3 14100;130
Процессор Intel Core i7 -14700КF;355
Процессор Intel Core i7 -4770;155
Процессор Intel Core i9 -14900KF;445
Процессор I3-3260;9
Процессор I5-4460;20
Процессор TRAY Ultra 5 245K;285
Процессор TRAY Ultra 5 245KF;280
Процессор TRAY Ultra 7 265K;285
Процессор TRAY Ultra 9 285K Arrow Lake;530
Процессор Intel Core i3-9100F;81
Процессор Intel Core i9 -14900K;490
Процессор I5-3470;20
Процессор Intel Core i7 -14700;320
Процессор Intel Core i7 -14700К;415
Процессор I3-4170;18
Процессор TRAY Ultra 5 225F;240
"Прочие
 Товары";
Бловер сурх;12
Коврик 80*30;7
Коврик 90*40;9
Коврик Х88;2
Ламинатор А4 формат;40
Мошин электро;8 000
Бловер Черный;22
Галоген;1
Коврик;1
Свичы;
TL-SG1016    16-Port Gigabit Switch;50
TP -LINK 48-Port 10/100Mbps Rackmount Switch SF1048;100
TP LINK TL SG1008P POE SWITCH;45
Tp-Link 24 Port Gigabit Rackmount Switch SG1024D;75
TP-LINK 5-Port Gigabit with 4-Port PoE+ SG1005P;33
TP-LINK JetStream  SL2428P;175
TP-LINK SF1005LP 5-Port 10/100 Switch with 4-Port PoE;23
TPLINK SWITCH LS-SF 1005D;6
TPLINK SWITCH SF 1016 Стоичный;38
TPLINK SWITCH SG1016 Стоичный;60
Коммутатор TP-LINK  SG 1008 D;20
Коммутатор TP-LINK <TL-SF1008D;7
Коммутатор TP-Link T2500G-10MPS - L2,   8 Port Giga и 2 слотами SFP. Разъёмы RJ45;140
Коммутатор FS328GP 28 Port Gigabit Smart  PoE   24 PoE+ Port   4 x SFP Slots;200
D-Link, DES-1024A /E1B, Неуправляемый коммутатор, Черный, Нет, 24 x RJ45, 24 портов 10/100 Мбит/сек;35
